datetime,ID,CH4,CO2,OH,Cnt
2022-09-26 10:24:37,4,70.00,11.10,4.00,"1
"
2022-09-26 10:26:15,4,69.70,11.40,4.00,"1
"
2022-09-26 10:27:55,4,69.90,11.30,4.00,"1
"
2022-09-26 10:29:36,4,69.70,11.30,4.00,"1
"
2022-09-26 10:31:16,4,69.60,11.30,4.00,"1
"
2022-09-26 10:32:57,4,69.70,11.30,4.00,"1
"
2022-09-26 10:34:37,4,69.70,11.30,4.00,"1
"
2022-09-26 10:36:18,4,69.80,11.20,4.00,"1
"
2022-09-26 10:37:58,4,70.00,11.10,4.00,"1
"
2022-09-26 10:39:39,4,70.30,11.10,4.00,"1
"
2022-09-26 10:41:19,4,71.00,10.70,4.00,"1
"
2022-09-26 10:42:59,4,69.30,11.60,4.00,"1
"
2022-09-26 10:44:40,4,74.90,8.60,4.00,"1
"
2022-09-26 10:46:20,4,75.10,8.40,4.00,"1
"
2022-09-26 10:48:00,4,75.00,8.50,4.00,"1
"
2022-09-26 18:38:51,4,75.20,8.10,4.00,"1
"
2022-09-26 18:48:47,4,74.50,8.10,4.00,"1
"
2022-09-26 19:42:07,4,74.60,8.10,4.00,"1
"
2022-09-26 19:46:06,4,75.20,8.10,4.00,"1
"
2022-09-26 10:25:24,3,54.80,-4.30,4.00,"747
"
2022-09-26 10:27:04,3,55.00,-4.10,4.00,"747
"
2022-09-26 10:28:45,3,55.00,-4.40,4.00,"747
"
2022-09-26 10:30:25,3,54.90,-0.00,-0.00,"748
"
2022-09-26 10:32:06,3,54.90,-0.00,-0.00,"748
"
2022-09-26 10:33:46,3,55.00,-0.00,-0.00,"748
"
2022-09-26 10:35:26,3,54.90,-4.40,-0.00,"749
"
2022-09-26 10:37:07,3,55.10,-4.40,4.00,"749
"
2022-09-26 10:38:47,3,55.00,-4.40,4.00,"749
"
2022-09-26 10:40:28,3,54.90,-4.40,4.00,"749
"
2022-09-26 10:42:08,3,54.90,-4.30,-0.00,"750
"
2022-09-26 10:43:49,3,54.90,-4.20,4.00,"750
"
2022-09-26 10:45:29,3,54.60,-4.60,-0.00,"751
"
2022-09-26 10:47:09,3,54.40,-4.60,4.00,"751
"
2022-09-26 10:48:49,3,54.30,-4.20,4.00,"751
"
2022-09-26 18:39:59,3,54.80,-6.30,4.00,"1
"
2022-09-26 19:41:19,3,55.10,-6.20,4.00,"1
"
2022-09-26 19:45:18,3,54.90,-6.30,4.00,"1
"
2022-09-26 10:24:37,1,61.00,7.60,4.00,"167
"
2022-09-26 10:26:17,1,61.10,7.60,4.00,"167
"
2022-09-26 10:27:57,1,61.20,7.60,4.00,"167
"
2022-09-26 10:29:37,1,61.00,7.60,4.00,"167
"
2022-09-26 10:31:18,1,61.50,7.60,4.00,"167
"
2022-09-26 10:32:58,1,61.70,7.60,4.00,"167
"
2022-09-26 10:34:39,1,61.80,7.60,4.00,"167
"
2022-09-26 10:36:19,1,61.80,7.60,4.00,"167
"
2022-09-26 10:38:00,1,61.80,7.60,4.00,"167
"
2022-09-26 10:39:40,1,61.80,7.60,4.00,"168
"
2022-09-26 10:41:20,1,61.80,7.60,4.00,"168
"
2022-09-26 10:43:01,1,62.10,7.70,4.00,"168
"
2022-09-26 10:44:41,1,61.70,7.60,-0.00,"168
"
2022-09-26 10:46:22,1,61.20,7.60,4.00,"168
"
2022-09-26 10:48:02,1,61.10,7.60,4.00,"168
"
2022-09-26 18:38:52,1,61.20,7.40,-0.00,"1
"
2022-09-26 19:26:42,1,61.10,7.40,4.00,"0
"
2022-09-26 19:44:34,1,61.30,7.40,4.00,"0
"
2022-09-26 19:46:14,1,61.40,7.40,4.00,"1
"
2022-09-26 10:25:33,2,73.00,9.10,4.00,"46
"
2022-09-26 10:27:13,2,72.80,9.10,4.00,"46
"
2022-09-26 10:28:54,2,72.70,9.10,4.00,"46
"
2022-09-26 10:30:34,2,72.80,9.10,4.00,"46
"
2022-09-26 10:32:15,2,72.70,9.10,4.00,"46
"
2022-09-26 10:33:55,2,72.60,9.10,4.00,"46
"
2022-09-26 10:35:35,2,72.70,9.10,4.00,"46
"
2022-09-26 10:37:16,2,72.50,9.10,4.00,"46
"
2022-09-26 10:38:56,2,72.50,9.10,4.00,"46
"
2022-09-26 10:40:37,2,72.50,9.10,4.00,"46
"
2022-09-26 10:42:17,2,73.00,9.10,4.00,"46
"
2022-09-26 10:43:58,2,73.70,9.20,4.00,"47
"
2022-09-26 10:45:38,2,73.60,0.00,-0.00,"47
"
2022-09-26 10:47:18,2,72.60,9.10,4.00,"47
"
2022-09-26 10:48:59,2,72.50,9.10,4.00,"47
"
2022-09-26 18:43:18,2,72.40,0.00,-0.00,"1
"
2022-09-26 19:41:33,2,72.40,8.90,4.00,"1
"
2022-09-26 19:45:33,2,72.90,0.00,-0.00,"1
"
