datetime,ID,CH4,CO2,OH,Cnt
2022-07-15 15:30:33,4,78.90,8.70,4.00,"1
"
2022-07-15 15:32:09,4,78.90,8.70,4.00,"1
"
2022-07-15 15:33:50,4,79.00,8.70,4.00,"1
"
2022-07-15 15:35:30,4,79.10,8.70,4.00,"1
"
2022-07-15 15:37:11,4,79.50,8.70,-0.00,"1
"
2022-07-15 15:38:51,4,79.40,8.70,4.00,"1
"
2022-07-15 15:40:32,4,79.20,8.70,4.00,"1
"
2022-07-15 15:42:12,4,79.40,8.70,4.00,"1
"
2022-07-15 15:43:53,4,79.50,8.70,4.00,"1
"
2022-07-15 15:45:32,4,79.30,8.70,4.00,"1
"
2022-07-15 15:47:13,4,79.10,8.70,4.00,"1
"
2022-07-15 15:48:53,4,79.10,8.70,4.00,"1
"
2022-07-15 15:50:34,4,78.90,8.70,-0.00,"1
"
2022-07-15 15:52:14,4,79.00,8.70,-0.00,"1
"
2022-07-15 15:53:55,4,78.70,8.60,-0.00,"1
"
2022-07-15 15:55:35,4,78.70,8.70,-0.00,"1
"
2022-07-15 15:57:16,4,78.90,8.70,-0.00,"1
"
2022-07-15 15:58:56,4,78.70,8.70,-0.00,"1
"
2022-07-15 16:00:36,4,78.50,8.60,4.00,"1
"
2022-07-15 16:02:17,4,78.40,8.60,4.00,"1
"
2022-07-15 16:03:57,4,79.10,8.70,4.00,"1
"
2022-07-15 16:05:38,4,79.10,8.70,4.00,"1
"
2022-07-15 16:07:18,4,79.30,8.70,4.00,"1
"
2022-07-15 16:08:59,4,79.10,8.70,4.00,"1
"
2022-07-15 16:10:39,4,79.00,8.70,4.00,"1
"
2022-07-15 15:30:33,3,54.20,-8.50,4.00,"3
"
2022-07-15 15:32:12,3,54.30,-8.40,4.00,"3
"
2022-07-15 15:33:52,3,54.40,-8.20,4.00,"3
"
2022-07-15 15:35:33,3,54.30,-8.20,4.00,"3
"
2022-07-15 15:37:13,3,54.40,-8.60,4.00,"4
"
2022-07-15 15:38:54,3,54.30,-8.90,4.00,"4
"
2022-07-15 15:40:34,3,54.30,-8.60,4.00,"4
"
2022-07-15 15:42:15,3,54.30,-8.20,4.00,"4
"
2022-07-15 15:43:55,3,54.30,-8.60,4.00,"4
"
2022-07-15 15:45:35,3,54.40,-8.80,4.00,"5
"
2022-07-15 15:47:15,3,54.30,0.00,-0.00,"5
"
2022-07-15 15:48:56,3,54.10,-8.80,-0.00,"5
"
2022-07-15 15:50:36,3,54.20,-8.20,-0.00,"5
"
2022-07-15 15:52:17,3,54.30,-8.60,-0.00,"5
"
