datetime,ID,CH4,CO2,OH,Cnt
2022-08-17 09:33:32,2,61.90,7.80,-0.00,"4
"
2022-08-17 09:35:11,2,62.10,7.80,-0.00,"4
"
2022-08-17 09:36:51,2,61.90,7.80,-0.00,"4
"
2022-08-17 09:38:32,2,62.00,7.80,-0.00,"4
"
2022-08-17 09:40:12,2,62.00,7.80,-0.00,"4
"
2022-08-17 09:41:52,2,61.70,7.80,-0.00,"4
"
2022-08-17 09:43:33,2,61.70,7.80,0.00,"4
"
2022-08-17 09:45:13,2,61.70,7.80,-0.00,"4
"
2022-08-17 09:46:54,2,61.50,7.80,-0.00,"4
"
2022-08-17 09:48:34,2,61.80,7.80,-0.00,"4
"
2022-08-17 09:50:15,2,61.60,7.80,-0.00,"4
"
2022-08-17 09:51:55,2,61.60,7.80,-0.00,"4
"
2022-08-17 09:53:35,2,61.50,7.80,-0.00,"4
"
2022-08-17 09:55:16,2,62.50,7.80,-0.00,"4
"
2022-08-17 09:56:56,2,62.30,7.80,-0.00,"4
"
2022-08-17 09:58:37,2,62.40,7.80,-0.00,"4
"
2022-08-17 10:00:17,2,62.30,7.90,-0.00,"4
"
2022-08-17 10:01:58,2,62.40,7.90,-0.00,"4
"
2022-08-17 10:03:38,2,62.20,7.90,-0.00,"4
"
2022-08-17 10:05:18,2,61.90,7.90,-0.00,"4
"
2022-08-17 10:06:59,2,62.00,7.90,-0.00,"4
"
2022-08-17 10:08:39,2,62.00,7.90,-0.00,"4
"
2022-08-17 10:10:20,2,62.00,7.90,-0.00,"4
"
2022-08-17 10:12:00,2,62.10,7.90,-0.00,"4
"
2022-08-17 10:13:41,2,61.90,7.90,-0.00,"4
"
2022-08-17 09:33:33,1,62.40,9.90,-0.00,"154
"
2022-08-17 09:35:14,1,62.50,9.90,-0.00,"154
"
2022-08-17 09:36:54,1,62.50,9.90,0.00,"154
"
2022-08-17 09:38:35,1,62.60,10.00,-0.00,"155
"
2022-08-17 09:40:15,1,62.80,10.00,-0.00,"155
"
2022-08-17 09:41:55,1,62.70,10.00,-0.00,"155
"
2022-08-17 09:43:36,1,62.80,10.00,-0.00,"155
"
2022-08-17 09:45:16,1,62.80,10.00,-0.00,"155
"
2022-08-17 09:46:57,1,62.70,10.00,-0.00,"155
"
2022-08-17 09:48:37,1,62.70,10.00,-0.00,"155
"
2022-08-17 09:50:18,1,62.70,10.00,-0.00,"155
"
2022-08-17 09:51:58,1,62.70,10.00,-0.00,"155
"
2022-08-17 09:53:38,1,62.70,9.90,-0.00,"155
"
2022-08-17 09:55:19,1,62.90,10.00,-0.00,"155
"
2022-08-17 09:56:59,1,62.80,9.90,0.00,"155
"
2022-08-17 09:58:40,1,62.80,10.00,-0.00,"155
"
2022-08-17 10:00:20,1,62.80,10.00,-0.00,"155
"
2022-08-17 10:02:01,1,62.80,10.00,-0.00,"155
"
2022-08-17 10:03:41,1,62.50,10.00,-0.00,"155
"
2022-08-17 10:05:21,1,62.50,9.90,0.00,"155
"
2022-08-17 10:07:02,1,62.40,10.00,-0.00,"155
"
2022-08-17 10:08:42,1,62.30,9.90,-0.00,"155
"
2022-08-17 10:10:23,1,62.10,9.90,-0.00,"155
"
2022-08-17 10:12:03,1,62.40,9.90,-0.00,"155
"
2022-08-17 10:13:43,1,62.40,10.00,-0.00,"155
"
2022-08-17 09:33:36,3,58.70,-4.30,-0.00,"777
"
2022-08-17 09:35:16,3,58.70,-4.40,-0.00,"778
"
2022-08-17 09:36:57,3,58.50,-4.30,-0.00,"778
"
2022-08-17 09:38:37,3,58.70,-4.20,-0.00,"778
"
2022-08-17 09:40:18,3,58.50,-4.40,-0.00,"778
"
2022-08-17 09:41:58,3,58.50,-4.30,-0.00,"778
"
2022-08-17 09:43:38,3,58.70,-4.30,-0.00,"778
"
2022-08-17 09:45:19,3,58.60,-4.30,-0.00,"779
"
2022-08-17 09:46:59,3,58.60,-4.30,-0.00,"779
"
2022-08-17 09:48:40,3,58.60,-4.30,-0.00,"779
"
2022-08-17 09:50:20,3,58.50,-4.30,0.00,"779
"
2022-08-17 09:52:01,3,58.60,-4.30,-0.00,"779
"
2022-08-17 09:53:41,3,58.60,-4.10,-0.00,"779
"
2022-08-17 09:55:21,3,58.80,-4.20,-0.00,"780
"
2022-08-17 09:57:02,3,58.30,-4.30,-0.00,"780
"
2022-08-17 09:58:42,3,58.20,-4.20,-0.00,"780
"
2022-08-17 10:00:23,3,58.20,-4.00,-0.00,"780
"
2022-08-17 10:02:03,3,58.50,-3.90,-0.00,"780
"
2022-08-17 10:03:43,3,58.50,-4.10,-0.00,"780
"
2022-08-17 10:05:24,3,58.70,-4.20,-0.00,"780
"
2022-08-17 10:07:04,3,58.70,-4.10,-0.00,"781
"
2022-08-17 10:08:45,3,58.50,-4.20,-0.00,"781
"
2022-08-17 10:10:25,3,58.60,-4.20,-0.00,"781
"
2022-08-17 10:12:06,3,58.80,-4.00,-0.00,"781
"
2022-08-17 10:13:46,3,58.60,-4.10,-0.00,"781
"
2022-08-17 09:33:38,4,74.60,7.10,-0.00,"1
"
2022-08-17 09:35:19,4,74.50,7.10,-0.00,"1
"
2022-08-17 09:36:59,4,74.40,7.10,-0.00,"1
"
2022-08-17 09:38:40,4,74.30,7.10,-0.00,"1
"
2022-08-17 09:40:20,4,74.10,7.10,-0.00,"1
"
2022-08-17 09:42:00,4,74.10,7.10,-0.00,"1
"
2022-08-17 09:43:41,4,74.00,7.10,-0.00,"1
"
2022-08-17 09:45:21,4,74.00,7.10,-0.00,"1
"
2022-08-17 09:47:02,4,74.00,7.10,-0.00,"1
"
2022-08-17 09:48:42,4,74.00,7.10,-0.00,"1
"
2022-08-17 09:50:23,4,73.90,7.10,-0.00,"1
"
