datetime,Sensor_value,EQ_waste_height_mm,EQ_volume_%
2022-09-26 10:24:37,978,617,"90
"
2022-09-26 10:25:00,987,624,"91
"
2022-09-26 10:25:25,982,620,"90
"
2022-09-26 10:25:50,977,616,"90
"
2022-09-26 10:26:15,985,622,"90
"
2022-09-26 10:26:41,979,618,"90
"
2022-09-26 10:27:06,980,619,"90
"
2022-09-26 10:27:31,985,622,"90
"
2022-09-26 10:27:56,978,617,"90
"
2022-09-26 10:28:21,979,618,"90
"
2022-09-26 10:28:46,984,622,"90
"
2022-09-26 10:29:11,983,621,"90
"
2022-09-26 10:29:36,985,622,"90
"
2022-09-26 10:30:01,966,608,"88
"
2022-09-26 10:30:27,982,620,"90
"
2022-09-26 10:30:52,985,622,"90
"
2022-09-26 10:31:17,983,621,"90
"
2022-09-26 10:31:42,980,619,"90
"
2022-09-26 10:32:07,982,620,"90
"
2022-09-26 10:32:32,981,619,"90
"
2022-09-26 10:32:57,984,622,"90
"
2022-09-26 10:33:22,985,622,"90
"
2022-09-26 10:33:47,985,622,"90
"
2022-09-26 10:34:13,984,622,"90
"
2022-09-26 10:34:38,985,622,"90
"
2022-09-26 10:35:03,983,621,"90
"
2022-09-26 10:35:28,982,620,"90
"
2022-09-26 10:35:53,983,621,"90
"
2022-09-26 10:36:18,982,620,"90
"
2022-09-26 10:36:43,982,620,"90
"
2022-09-26 10:37:08,982,620,"90
"
2022-09-26 10:37:33,980,619,"90
"
2022-09-26 10:37:59,982,620,"90
"
2022-09-26 10:38:24,978,617,"90
"
2022-09-26 10:38:49,981,619,"90
"
2022-09-26 10:39:14,981,619,"90
"
2022-09-26 10:39:39,981,619,"90
"
2022-09-26 10:40:04,985,622,"90
"
2022-09-26 10:40:29,985,622,"90
"
2022-09-26 10:40:54,986,623,"91
"
2022-09-26 10:41:19,984,622,"90
"
2022-09-26 10:41:45,983,621,"90
"
2022-09-26 10:42:10,982,620,"90
"
2022-09-26 10:42:35,981,619,"90
"
2022-09-26 10:43:00,981,619,"90
"
2022-09-26 10:43:25,984,622,"90
"
2022-09-26 10:43:50,985,622,"90
"
2022-09-26 10:44:15,983,621,"90
"
2022-09-26 10:44:40,968,609,"89
"
2022-09-26 10:45:05,973,613,"89
"
2022-09-26 10:45:31,971,612,"89
"
2022-09-26 10:45:56,971,612,"89
"
2022-09-26 10:46:21,971,612,"89
"
2022-09-26 10:46:46,972,612,"89
"
2022-09-26 10:47:10,968,609,"89
"
2022-09-26 10:47:36,975,615,"89
"
2022-09-26 10:48:01,972,612,"89
"
2022-09-26 10:48:26,973,613,"89
"
2022-09-26 10:48:51,972,612,"89
"
2022-09-26 18:16:07,922,574,"84
"
2022-09-26 18:38:52,908,563,"83
"
2022-09-26 18:39:34,907,562,"83
"
2022-09-26 18:40:02,908,563,"83
"
2022-09-26 18:43:46,918,571,"83
"
2022-09-26 19:26:42,897,554,"82
"
2022-09-26 19:41:02,897,554,"82
"
2022-09-26 19:41:27,896,554,"82
"
2022-09-26 19:41:52,895,553,"82
"
2022-09-26 19:44:37,885,545,"80
"
2022-09-26 19:45:02,887,547,"81
"
2022-09-26 19:45:27,886,546,"81
"
2022-09-26 19:45:52,889,548,"81
"
2022-09-26 19:46:17,885,545,"80
"
2022-09-26 19:46:42,882,543,"80
"
