datetime,Sensor_value,EQ_waste_height_mm,EQ_volume_%
2022-09-22 08:00:21,590,317,"46
"
2022-09-22 08:00:46,590,317,"46
"
2022-09-22 08:01:11,589,316,"46
"
2022-09-22 08:01:36,587,314,"45
"
2022-09-22 08:02:01,585,313,"45
"
2022-09-22 08:02:26,587,314,"45
"
2022-09-22 08:02:51,588,315,"46
"
2022-09-22 08:03:16,590,317,"46
"
2022-09-22 08:03:41,590,317,"46
"
2022-09-22 08:04:07,587,314,"45
"
2022-09-22 08:04:32,586,314,"45
"
2022-09-22 08:04:57,587,314,"45
"
2022-09-22 08:05:22,587,314,"45
"
2022-09-22 08:05:47,588,315,"46
"
2022-09-22 08:06:12,587,314,"45
"
2022-09-22 08:06:37,588,315,"46
"
2022-09-22 08:07:02,586,314,"45
"
2022-09-22 08:07:27,589,316,"46
"
2022-09-22 08:07:52,587,314,"45
"
2022-09-22 08:08:18,588,315,"46
"
2022-09-22 08:08:43,602,326,"47
"
2022-09-22 08:09:08,586,314,"45
"
2022-09-22 08:09:33,590,317,"46
"
2022-09-22 08:09:58,589,316,"46
"
2022-09-22 08:10:23,587,314,"45
"
2022-09-22 08:10:48,589,316,"46
"
2022-09-22 08:11:13,585,313,"45
"
2022-09-22 08:11:38,585,313,"45
"
2022-09-22 08:12:04,587,314,"45
"
2022-09-22 08:12:29,589,316,"46
"
2022-09-22 08:12:54,588,315,"46
"
2022-09-22 08:13:19,588,315,"46
"
2022-09-22 08:13:44,585,313,"45
"
2022-09-22 08:14:09,587,314,"45
"
2022-09-22 08:14:34,589,316,"46
"
2022-09-22 08:14:59,592,318,"46
"
2022-09-22 08:15:24,588,315,"46
"
2022-09-22 08:15:50,304,"44
",
2022-09-22 08:16:15,587,314,"45
"
2022-09-22 08:16:40,588,315,"46
"
2022-09-22 08:17:05,589,316,"46
"
2022-09-22 08:17:30,588,315,"46
"
2022-09-22 08:17:55,586,314,"45
"
2022-09-22 08:18:20,585,313,"45
"
2022-09-22 08:18:45,588,315,"46
"
2022-09-22 08:19:10,587,314,"45
"
2022-09-22 08:19:35,586,314,"45
"
2022-09-22 08:20:01,586,314,"45
"
2022-09-22 08:20:26,577,307,"44
"
2022-09-22 08:20:51,578,308,"45
"
2022-09-22 08:21:16,576,306,"44
"
2022-09-22 08:21:41,576,306,"44
"
2022-09-22 08:22:06,577,307,"44
"
2022-09-22 08:22:31,577,307,"44
"
2022-09-22 08:22:56,577,307,"44
"
2022-09-22 08:23:21,577,307,"44
"
2022-09-22 08:23:47,576,306,"44
"
2022-09-22 08:24:12,576,306,"44
"
2022-09-22 08:24:37,575,305,"44
"
2022-09-22 08:25:02,578,308,"45
"
2022-09-22 08:25:27,578,308,"45
"
2022-09-22 08:25:52,577,307,"44
"
2022-09-22 08:26:17,578,308,"45
"
2022-09-22 08:26:42,576,306,"44
"
2022-09-22 08:27:07,575,305,"44
"
2022-09-22 08:27:33,576,306,"44
"
2022-09-22 08:27:58,574,304,"44
"
2022-09-22 08:28:23,575,305,"44
"
2022-09-22 08:28:48,575,305,"44
"
2022-09-22 08:29:13,577,307,"44
"
2022-09-22 08:29:38,575,305,"44
"
2022-09-22 08:30:03,578,308,"45
"
2022-09-22 08:30:28,577,307,"44
"
2022-09-22 08:30:53,578,308,"45
"
2022-09-22 08:31:18,577,307,"44
"
2022-09-22 08:31:43,582,311,"45
"
2022-09-22 08:32:08,576,306,"44
"
2022-09-22 08:32:33,575,305,"44
"
2022-09-22 08:32:58,577,307,"44
"
2022-09-22 08:33:24,575,305,"44
"
2022-09-22 08:33:49,576,306,"44
"
2022-09-22 08:34:14,577,307,"44
"
2022-09-22 08:34:39,578,308,"45
"
2022-09-22 08:35:04,576,306,"44
"
2022-09-22 08:35:29,577,307,"44
"
2022-09-22 08:35:54,573,304,"44
"
2022-09-22 08:36:19,577,307,"44
"
2022-09-22 08:36:44,577,307,"44
"
2022-09-22 08:37:10,579,308,"45
"
2022-09-22 08:37:35,576,306,"44
"
2022-09-22 08:38:00,576,306,"44
"
2022-09-22 08:38:25,568,300,"43
"
2022-09-22 08:38:50,577,307,"44
"
2022-09-22 08:39:15,578,308,"45
"
2022-09-22 08:39:40,583,311,"45
"
2022-09-22 08:40:05,577,307,"44
"
2022-09-22 08:40:30,576,306,"44
"
2022-09-22 08:40:55,577,307,"44
"
2022-09-22 08:41:21,575,305,"44
"
2022-09-22 08:41:46,581,310,"45
"
